panel,n_cves,model,phase,normalized_score_pct
All CVEs,30,claude-sonnet-4-6,R1,94.889
All CVEs,30,claude-sonnet-4-6,R2,53.778
All CVEs,30,claude-sonnet-4-6,R3,48.222
All CVEs,30,claude-sonnet-4-6,R4,45.556
All CVEs,30,claude-sonnet-4-6,R5,16.167
All CVEs,30,claude-sonnet-4-6,R6,13.000
All CVEs,30,deepseek-v4-flash-free,R1,92.000
All CVEs,30,deepseek-v4-flash-free,R2,46.667
All CVEs,30,deepseek-v4-flash-free,R3,44.222
All CVEs,30,deepseek-v4-flash-free,R4,36.667
All CVEs,30,deepseek-v4-flash-free,R5,10.667
All CVEs,30,deepseek-v4-flash-free,R6,10.000
All CVEs,30,glm-5.2,R1,96.667
All CVEs,30,glm-5.2,R2,75.556
All CVEs,30,glm-5.2,R3,70.667
All CVEs,30,glm-5.2,R4,71.556
All CVEs,30,glm-5.2,R5,32.333
All CVEs,30,glm-5.2,R6,29.000
All CVEs,30,gpt-5.5,R1,83.333
All CVEs,30,gpt-5.5,R2,51.111
All CVEs,30,gpt-5.5,R3,43.778
All CVEs,30,gpt-5.5,R4,33.778
All CVEs,30,gpt-5.5,R5,6.333
All CVEs,30,gpt-5.5,R6,6.333
All CVEs,30,mimo-v2.5-free,R1,92.111
All CVEs,30,mimo-v2.5-free,R2,66.444
All CVEs,30,mimo-v2.5-free,R3,60.889
All CVEs,30,mimo-v2.5-free,R4,45.333
All CVEs,30,mimo-v2.5-free,R5,3.333
All CVEs,30,mimo-v2.5-free,R6,9.167
Buffer Overflow,10,claude-sonnet-4-6,R1,94.000
Buffer Overflow,10,claude-sonnet-4-6,R2,67.333
Buffer Overflow,10,claude-sonnet-4-6,R3,60.000
Buffer Overflow,10,claude-sonnet-4-6,R4,58.667
Buffer Overflow,10,claude-sonnet-4-6,R5,17.500
Buffer Overflow,10,claude-sonnet-4-6,R6,13.000
Buffer Overflow,10,deepseek-v4-flash-free,R1,86.000
Buffer Overflow,10,deepseek-v4-flash-free,R2,71.333
Buffer Overflow,10,deepseek-v4-flash-free,R3,70.000
Buffer Overflow,10,deepseek-v4-flash-free,R4,62.000
Buffer Overflow,10,deepseek-v4-flash-free,R5,10.000
Buffer Overflow,10,deepseek-v4-flash-free,R6,13.000
Buffer Overflow,10,glm-5.2,R1,96.667
Buffer Overflow,10,glm-5.2,R2,90.000
Buffer Overflow,10,glm-5.2,R3,79.333
Buffer Overflow,10,glm-5.2,R4,90.000
Buffer Overflow,10,glm-5.2,R5,47.000
Buffer Overflow,10,glm-5.2,R6,41.000
Buffer Overflow,10,gpt-5.5,R1,78.667
Buffer Overflow,10,gpt-5.5,R2,58.000
Buffer Overflow,10,gpt-5.5,R3,46.000
Buffer Overflow,10,gpt-5.5,R4,36.000
Buffer Overflow,10,gpt-5.5,R5,4.000
Buffer Overflow,10,gpt-5.5,R6,4.500
Buffer Overflow,10,mimo-v2.5-free,R1,88.000
Buffer Overflow,10,mimo-v2.5-free,R2,78.000
Buffer Overflow,10,mimo-v2.5-free,R3,66.000
Buffer Overflow,10,mimo-v2.5-free,R4,48.667
Buffer Overflow,10,mimo-v2.5-free,R5,6.000
Buffer Overflow,10,mimo-v2.5-free,R6,12.500
Command Injection,10,claude-sonnet-4-6,R1,97.333
Command Injection,10,claude-sonnet-4-6,R2,48.667
Command Injection,10,claude-sonnet-4-6,R3,50.000
Command Injection,10,claude-sonnet-4-6,R4,48.667
Command Injection,10,claude-sonnet-4-6,R5,26.000
Command Injection,10,claude-sonnet-4-6,R6,19.000
Command Injection,10,deepseek-v4-flash-free,R1,96.000
Command Injection,10,deepseek-v4-flash-free,R2,38.667
Command Injection,10,deepseek-v4-flash-free,R3,40.000
Command Injection,10,deepseek-v4-flash-free,R4,35.333
Command Injection,10,deepseek-v4-flash-free,R5,15.500
Command Injection,10,deepseek-v4-flash-free,R6,15.500
Command Injection,10,glm-5.2,R1,100.000
Command Injection,10,glm-5.2,R2,68.667
Command Injection,10,glm-5.2,R3,70.000
Command Injection,10,glm-5.2,R4,69.333
Command Injection,10,glm-5.2,R5,28.000
Command Injection,10,glm-5.2,R6,22.000
Command Injection,10,gpt-5.5,R1,87.333
Command Injection,10,gpt-5.5,R2,30.000
Command Injection,10,gpt-5.5,R3,30.000
Command Injection,10,gpt-5.5,R4,24.667
Command Injection,10,gpt-5.5,R5,3.000
Command Injection,10,gpt-5.5,R6,4.500
Command Injection,10,mimo-v2.5-free,R1,96.000
Command Injection,10,mimo-v2.5-free,R2,58.667
Command Injection,10,mimo-v2.5-free,R3,58.667
